,x,y,z,nx,ny,nz
0,0.05896271755719544,-0.038381346664355685,0.0019457441612058591,0.8041739107900763,-0.5669019883992248,0.17867976033563399
1,0.05846949770029966,-0.036402368230196554,0.0004428426881257088,0.0184732475335251,0.042572054516069685,-0.9989225992537389
2,0.061405599698643086,-0.03236087525360947,0.0004149523857729004,0.0678460323208181,-0.060568788480395756,-0.9958555807748127
3,0.05987829296725447,-0.035146335535922925,0.0004803135225230188,0.0678460323208181,-0.060568788480395756,-0.9958555807748127
4,0.06157578393277199,-0.03427150000290261,0.0009898543050757874,0.8852749055604859,-0.4644970616451078,0.023039559629761036
5,0.0594096915192943,-0.036520923805356015,0.0030991481947210977,0.4283538292843186,-0.29741101035043593,0.8532641372164856
6,0.060609421362142764,-0.034196929100159715,0.004979964679660328,0.8839774858756563,-0.4675274971350625,0.0013578982208114216
7,0.06208018530716168,-0.03141321877240984,0.005965979556928876,0.8839774858756563,-0.4675274971350625,0.0013578982208114216
8,0.060857250708738264,-0.033721779303047636,0.007240835657539988,0.8839774858756563,-0.4675274971350625,0.0013578982208114216
9,0.06212729544143536,-0.031313975412074736,0.009467495161975696,0.8839774858756563,-0.4675274971350625,0.0013578982208114216
10,0.0634641814244162,-0.02988541376736157,0.0005217597604376028,0.7758580581674985,-0.2989177510276285,-0.5556009824479643
11,0.06492587166945198,-0.02584133651303528,0.002843204685754882,0.5539560181813541,-0.21343412938279227,0.8047226866040679
12,0.06406610618180579,-0.028953225503128524,0.0024306885203599702,0.9364440600115735,-0.3374364007632629,0.09596456590312485
13,0.06361193268433252,-0.027484370399527683,0.004254418089943624,0.9291150036983068,-0.33783486914549793,-0.1503758993061713
14,0.061422430116089693,-0.034087591683937206,0.0028435292007592513,0.586088421348527,-0.26303565659180655,0.7663632335404073
15,0.061555843362717466,-0.032135103166306245,0.004080098383042496,0.8686240414218456,-0.46286725806811413,-0.17676587926544504
16,0.05849373242316647,-0.03127279557290784,0.003415881174339685,-0.09505251148834483,0.06601511527299994,-0.993280939420087
17,0.057509578950332305,-0.028932317913420685,0.0032460851596502133,0.38256719217647756,-0.27407006611570395,-0.8823423045108626
18,0.06075741036670302,-0.028409196205563,0.0032254478096313067,-0.30382638608072365,-0.36573134594229284,-0.879732976372016
